x,y,river,year,migration_rate (m/yr),curvature (1/m),row_id,EVI_change_2000_2016_unitless,EVI_change_2016_2024_unitless,CV_runoff_ERA5_2000_2016_unitless,CV_runoff_ERA5_2016_2024_unitless,DamDistance_km,CV_discharge_USGS_2000_2016_unitless,CV_discharge_USGS_2016_2024_unitless,DamBin,DamBin_code,CV_diff_2000_2016_ERA5_minus_USGS,CV_diff_2016_2024_ERA5_minus_USGS
428827.6075,3608767.907,Blackwarrior,2000,-2.247967592,0.000438176,82,0.042964649,0.217661895,1.238918841,0.953451531,19.67793674,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428405.8813,3608599.437,Blackwarrior,2000,-12.97694876,0.000443473,83,0.072947315,0.243455867,1.238918841,0.953451531,19.67498342,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428090.3321,3608400.322,Blackwarrior,2000,0.313948953,-4.14E-05,84,0.086314071,0.176609804,1.238918841,0.953451531,19.74810794,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427810.7578,3608233.847,Blackwarrior,2000,3.63953026,-0.000767538,85,0.079995153,0.306017313,1.238918841,0.953451531,19.80917092,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427590.9763,3608202.589,Blackwarrior,2000,-0.638807943,4.85E-05,86,0.08599436,0.303594219,1.238918841,0.953451531,19.76646809,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427265.6692,3608126.195,Blackwarrior,2000,-6.728862104,0.000220686,87,0.042344586,0.226555648,1.238918841,0.953451531,19.73636251,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426809.2468,3607933.83,Blackwarrior,2000,5.658155201,1.91E-05,88,0.005584743,0.101245063,1.238918841,0.953451531,19.78530525,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426539.5524,3607796.84,Blackwarrior,2000,1.677117497,-0.001623231,89,0.074159668,0.204807564,1.238918841,0.953451531,19.8424605,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426306.1371,3607778.146,Blackwarrior,2000,-4.069235635,-0.000955582,90,0.062959266,0.377128994,1.238918841,0.953451531,19.7989711,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425888.8109,3607962.087,Blackwarrior,2000,1.896693348,-0.000227171,91,0.062436929,0.24713752,1.238918841,0.953451531,19.51677106,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425409.3108,3608166.86,Blackwarrior,2000,-9.422647558,-0.000323692,92,0.036624087,0.147419801,1.238918841,0.953451531,19.20720671,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425009.0822,3608463.132,Blackwarrior,2000,-1.591750311,-0.000487432,93,0.022024241,0.338518883,1.238918841,0.953451531,18.83311839,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424731.0303,3608812.914,Blackwarrior,2000,5.234021172,-0.000208477,94,0.029841008,0.095532218,1.238918841,0.953451531,18.43530033,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424432.5485,3609266.049,Blackwarrior,2000,-12.34233958,-0.000409232,95,0.025331776,0.213009121,1.238918841,0.953451531,17.93440707,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424262.3293,3609516.331,Blackwarrior,2000,6.079489839,-0.000482263,96,0.064593957,0.19424559,1.238918841,0.953451531,17.65787821,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424232.289,3610031.558,Blackwarrior,2000,-5.87336139,0.000271256,97,0.067150665,0.307884271,1.238918841,0.953451531,17.14517917,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424065.2239,3610374.617,Blackwarrior,2000,-2.495696455,0.000474114,98,0.028778704,0.476077289,1.238918841,0.953451531,16.778183,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
423842.0705,3610684.385,Blackwarrior,2000,0.552242135,-0.000346588,99,0.040698089,0.470369455,1.238918841,0.953451531,16.43559801,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
423729.63,3610930.056,Blackwarrior,2000,-4.052874204,-0.002666198,100,0.060193863,0.327078439,1.238918841,0.953451531,16.17512124,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
423760.087,3611109.303,Blackwarrior,2000,2.014459139,-0.001683386,101,0.091827057,0.293958392,1.238918841,0.953451531,16.00288812,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
423927.2933,3611357.314,Blackwarrior,2000,-4.639487821,-0.001029024,102,0.071471568,0.412414672,1.238918841,0.953451531,15.78606566,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424072.98,3611499.237,Blackwarrior,2000,-4.736490915,-0.004007959,103,0.062336282,0.178936037,1.238918841,0.953451531,15.67230127,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424233.7199,3611509.144,Blackwarrior,2000,4.415832604,-0.000766193,104,0.040708429,0.353773462,1.238918841,0.953451531,15.69284218,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424538.5739,3611441.718,Blackwarrior,2000,1.422576371,0.00013528,105,0.021059023,0.345949683,1.238918841,0.953451531,15.82054842,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424894.2622,3611447.318,Blackwarrior,2000,-4.983574927,6.58E-05,106,0.011589889,0.238304106,1.238918841,0.953451531,15.89397706,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425088.5948,3611436.099,Blackwarrior,2000,2.203168656,-9.72E-05,107,0.00034313,0.257486561,1.238918841,0.953451531,15.95116122,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425413.4691,3611406.848,Blackwarrior,2000,1.933127154,0.000328485,108,0.080185586,0.258411284,1.238918841,0.953451531,16.06171079,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425695.9131,3611399.562,Blackwarrior,2000,2.406123389,0.000389536,109,0.092393486,0.162847327,1.238918841,0.953451531,16.14512761,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426088.5911,3611478.812,Blackwarrior,2000,1.455258247,0.00022304,110,0.077355777,0.084862093,1.238918841,0.953451531,16.18329506,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426361.4681,3611549.814,Blackwarrior,2000,2.675677035,0.000119977,111,0.112384623,0.182310838,1.238918841,0.953451531,16.2004922,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426684.0055,3611639.229,Blackwarrior,2000,4.783151597,0.000256468,112,0.100160371,0.115139991,1.238918841,0.953451531,16.22194885,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426966.9076,3611731.117,Blackwarrior,2000,-6.965004828,0.000231684,113,0.078839744,0.13026072,1.238918841,0.953451531,16.23383883,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427175.546,3611875.476,Blackwarrior,2000,2.19740309,-0.001152032,114,0.101267087,0.155765315,1.238918841,0.953451531,16.17487183,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427320.5336,3611867.847,Blackwarrior,2000,-0.659918492,-0.002812603,115,0.114130023,0.083685399,1.238918841,0.953451531,16.23608362,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427501.8143,3611870.271,Blackwarrior,2000,2.413541,-0.001024148,116,0.015549965,-0.148689886,1.238918841,0.953451531,16.30307667,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427771.8341,3611703.501,Blackwarrior,2000,-2.247156336,-0.000187186,117,0.029681797,0.11125199,1.238918841,0.953451531,16.5623791,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428038.8886,3611536.869,Blackwarrior,2000,-6.902826433,9.95E-05,118,0.007780892,0.005845483,1.238918841,0.953451531,16.82234383,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428348.0477,3611373.57,Blackwarrior,2000,-5.959240345,0.000124513,119,0.061001381,0.277452262,1.238918841,0.953451531,17.09869122,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428626.5074,3611225.066,Blackwarrior,2000,6.278616569,1.13E-05,120,0.017635133,0.321720445,1.238918841,0.953451531,17.35114946,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428995.4296,3611068.252,Blackwarrior,2000,1.122770573,-7.96E-05,121,0.085531193,0.34050996,1.238918841,0.953451531,17.652902,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429158.0904,3610946.071,Blackwarrior,2000,0.982222809,0.001571409,122,0.083621349,0.13720172,1.238918841,0.953451531,17.83465916,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429261.8026,3610930.486,Blackwarrior,2000,0.979464574,0.013458763,123,0.082509132,0.232361951,1.238918841,0.953451531,17.89511626,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429385.5475,3610983.474,Blackwarrior,2000,2.870517939,0.000498585,124,0.073292155,0.184705559,1.238918841,0.953451531,17.90407287,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429756.4514,3611555.001,Blackwarrior,2000,18.7372452,0.000101318,125,0.047631679,0.269514757,1.269338391,0.960713259,17.57522205,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430070.2712,3612107.866,Blackwarrior,2000,-8.827025271,0.000311165,126,0.079160219,0.238225997,1.269338391,0.960713259,17.25357319,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
